Date,Symbol,Open,High,Low,Adj Close,Volume,Volume USD
2018-01-01,BTCUSD,13820.26,13824.23,12800,13338.41,4575.01,60856282.93
2018-01-02,BTCUSD,13338.41,15249.97,12851,14740.09,8822.9,124203791.3
2018-01-03,BTCUSD,14740.09,15400,14583.47,15148.92,8551.32,127985170.2
2018-01-04,BTCUSD,15148.92,15503.59,14000,15199.99,12450.53,184306290.7
2018-01-05,BTCUSD,15199.99,17124.44,14800,16945.5,11519.64,184239283.3
2018-01-06,BTCUSD,16945.5,17236.46,16298.31,17175,5294.46,88436511.04
2018-01-07,BTCUSD,17175,17175.01,15741.08,16150.15,5625.07,92772910.39
2018-01-08,BTCUSD,16150.15,16250,13825.22,14980.01,12623.87,190764811.7
2018-01-09,BTCUSD,14980.01,15419.24,14161.55,14477.55,7721.18,114072096.1
2018-01-10,BTCUSD,14477.55,14933.42,13500,14929.39,9009.1,127693435.2
2018-01-11,BTCUSD,14929.39,14970,12810,13301.77,10854.39,147562255.6
2018-01-12,BTCUSD,13301.77,14106,12900,13815.26,8668.84,118064269.5
2018-01-13,BTCUSD,13815.26,14550,13803.8,14174.38,4901.76,69653074.46
2018-01-14,BTCUSD,14174.38,14310,13100,13626.27,3985.27,54199076.03
2018-01-15,BTCUSD,13626.27,14283.26,13400,13597.6,4552.77,62791167.64
2018-01-16,BTCUSD,13597.6,13601.25,10001,11399.01,20640.71,242184935.9
2018-01-17,BTCUSD,11399.01,11850,9125,11240.19,24459.65,258538366.3
2018-01-18,BTCUSD,11240.19,12110,10677.33,11298,16661.99,191729689
2018-01-19,BTCUSD,11298,12018.39,11048.66,11535.56,9545.86,109669984.7
2018-01-20,BTCUSD,11535.56,12999,11528.68,12744.98,6862.82,85011809.92
2018-01-21,BTCUSD,12744.98,12774.17,11112,11501,5898.27,69104786.19
2018-01-22,BTCUSD,11501,11865,10026.03,10780,11158.71,120643064.7
2018-01-23,BTCUSD,10780,11372.51,9940,10820.81,10779.7,115208955.5
2018-01-24,BTCUSD,10820.81,11480.01,10500,11346.58,8410.16,92514894.51
2018-01-25,BTCUSD,11346.58,11693.7,10805.56,11114,6974.39,78666560.11
2018-01-26,BTCUSD,11114,11600,10300,11091.99,9023.48,98917678.69
2018-01-27,BTCUSD,11091.99,11535,10821.76,11372.85,4717.82,52981583.96
2018-01-28,BTCUSD,11372.85,11878.1,11312.2,11633.11,4203.83,48573754.38
2018-01-29,BTCUSD,11633.11,11698,10900,11130.34,5693.42,63639125.48
2018-01-30,BTCUSD,11130.34,11168.7,9734.63,10007.42,11594.08,120154143.9
2018-01-31,BTCUSD,10007.42,10299.99,9555,10112.6,9378.99,93072172.84
2018-02-01,BTCUSD,10112.6,10164.68,8411.11,9000.73,17746.53,162257631.6
2018-02-02,BTCUSD,9000.73,9090,7603,8845.07,21886.74,185823833.1
2018-02-03,BTCUSD,8845.07,9494.86,8123.62,9221.14,7572,66978512.91
2018-02-04,BTCUSD,9221.14,9353.45,7847.39,8162.94,8182.52,68994814.69
2018-02-05,BTCUSD,8162.94,8334,6500,6892.67,22800.02,166315391.2
2018-02-06,BTCUSD,6892.67,7944,5931.34,7682.75,29967.25,202478482.7
2018-02-07,BTCUSD,7682.75,8589,7200,7582.76,15859,125575748.8
2018-02-08,BTCUSD,7582.76,8638.99,7556,8200,12127.69,99256298.44
2018-02-09,BTCUSD,8200,8728.53,7750,8697.78,9425.92,77002096.64
2018-02-10,BTCUSD,8697.78,9069,8146.78,8553.5,6004.8,51732287.49
2018-02-11,BTCUSD,8553.5,8576.42,7824.48,8073.9,5306.74,43469260.55
2018-02-12,BTCUSD,8073.9,8985,8070.68,8900,5466.43,47208118.55
2018-02-13,BTCUSD,8900,8940,8379,8519.07,4953.3,42654131.94
2018-02-14,BTCUSD,8519.07,9510,8519.07,9480.27,8789.94,80166786.59
2018-02-15,BTCUSD,9480.27,10259.29,9353,10017.18,8989.83,88764794.27
2018-02-16,BTCUSD,10017.18,10307.6,9710,10183.63,5439.6,54605905.83
2018-02-17,BTCUSD,10183.63,11140.45,10039.73,11100,4311.47,45959466.87
2018-02-18,BTCUSD,11100,11270,10150,10403.01,6902.75,74029051.97
2018-02-19,BTCUSD,10403.01,11250,10315,11166.92,3764.29,40969900.17
2018-02-20,BTCUSD,11166.92,11750,11084.99,11206.22,6641.33,76268926.96
2018-02-21,BTCUSD,11206.22,11282.53,10248,10475,11441.35,122866113.7
2018-02-22,BTCUSD,10475,10939.9,9740,9829.96,10771.54,109881832
2018-02-23,BTCUSD,9829.96,10400,9595,10161.62,6470.6,64650739.27
2018-02-24,BTCUSD,10161.62,10534.77,9388.97,9697.21,5375.32,53590192.23
2018-02-25,BTCUSD,9697.21,9870,9290,9595,3491.7,33472164.84
2018-02-26,BTCUSD,9595,10433.88,9399,10300,5550.37,55993158.68
2018-02-27,BTCUSD,10300,10850,10117,10562.46,5538.64,58574042.36
2018-02-28,BTCUSD,10562.46,11050,10260.85,10296.86,6013.76,63890938.06
2018-03-01,BTCUSD,10296.86,11100,10200,10900.95,5125.81,54839997.42
2018-03-02,BTCUSD,10900.95,11200,10779.44,11027.77,4046.9,44474264.7
2018-03-03,BTCUSD,11027.77,11484.98,11026.91,11433.72,1842.01,20876860.93
2018-03-04,BTCUSD,11433.72,11500,11060.01,11467.19,1874.53,21117794.79
2018-03-05,BTCUSD,11467.19,11650.01,11400,11400.01,2939.43,33912541.93
2018-03-06,BTCUSD,11400.01,11401.64,10563.93,10696.87,5128.2,56123956.6
2018-03-07,BTCUSD,10696.87,10898.99,9375,9884.26,10297.81,103482427.2
2018-03-08,BTCUSD,9884.26,10100,9050,9295.77,8774.36,83652551.76
2018-03-09,BTCUSD,9295.77,9409.21,8370,9257,11095.65,98510525.38
2018-03-10,BTCUSD,9257,9515.21,8731,8769.2,4581.91,42340279.46
2018-03-11,BTCUSD,8769.2,9772.42,8544.95,9530.94,4575.06,42306636.51
2018-03-12,BTCUSD,9530.94,9898,8760,9105,7429.99,69137084.58
2018-03-13,BTCUSD,9105,9500,8850,9146.18,6443.94,58856352.69
2018-03-14,BTCUSD,9146.18,9366.16,7932.65,8198.82,9260.37,79124355.48
2018-03-15,BTCUSD,8198.82,8416.92,7675.35,8266.99,10294.58,82957878.18
2018-03-16,BTCUSD,8266.99,8607.11,7900.01,8265.81,6576.73,54696030.34
2018-03-17,BTCUSD,8265.81,8350,7737.49,7870.99,4357.88,35033565.68
2018-03-18,BTCUSD,7870.99,8297,7319,8197.29,9669.52,74104522.09
2018-03-19,BTCUSD,8197.29,8744.68,8119.7,8599.01,8472.64,71070074.08
2018-03-20,BTCUSD,8599.01,9037,8327.35,8904.23,7272.77,63129514.46
2018-03-21,BTCUSD,8904.23,9180,8755,8902.53,6594.03,59212481.78
2018-03-22,BTCUSD,8902.53,9100,8494.62,8710.44,6485.99,56753217.52
2018-03-23,BTCUSD,8710.44,8925.01,8288.01,8925,6207.75,52936947.26
2018-03-24,BTCUSD,8925,9000,8500,8540.33,3002.8,26488822.66
2018-03-25,BTCUSD,8540.33,8687.3,8375.5,8457.04,3802.87,32383644.87
2018-03-26,BTCUSD,8457.04,8495.73,7827.95,8149.46,6902.21,56193530.15
2018-03-27,BTCUSD,8149.46,8221.79,7753,7794.46,6505.42,51702143.63
2018-03-28,BTCUSD,7794.46,8095,7749.53,7941.87,5099.35,40255451.21
2018-03-29,BTCUSD,7941.87,7965,6903,7086.6,12113.05,90220518.11
2018-03-30,BTCUSD,7086.6,7271.9,6600,6838.71,11373.39,77813320.93
2018-03-31,BTCUSD,6838.71,7242.47,6788.51,6920.5,4842.85,33961333.43
2018-04-01,BTCUSD,6920.5,7043.5,6442.49,6811.02,5962.82,40038020.94
2018-04-02,BTCUSD,6811.02,7113.01,6766.84,7049.99,5330.83,37254176.59
2018-04-03,BTCUSD,7049.99,7500,7016.87,7418.53,7164.62,52515668.76
2018-04-04,BTCUSD,7418.53,7421.08,6707.5,6794.31,6865.47,48325954.25
2018-04-05,BTCUSD,6794.31,6923.01,6574.3,6777,7331.11,49348791.2
2018-04-06,BTCUSD,6777,6848,6512.79,6564.06,5906.65,39214142.92
2018-04-07,BTCUSD,6592.94,7069.18,6592.94,6895.99,2337.59,16178550.92
2018-04-08,BTCUSD,6895.99,7100,6889.5,7022.72,2494.65,17460763.19
2018-04-09,BTCUSD,7022.72,7176.99,6612.35,6771.01,4793.44,32762618.08
2018-04-10,BTCUSD,6771.01,6876.33,6651.12,6830.68,2802.32,19003389.65
2018-04-11,BTCUSD,6830.68,6966.84,6801.68,6939.43,2866.25,19778338.85
2018-04-12,BTCUSD,6939.43,8076.83,6766.18,7920.39,9957.83,74604260
